"PROPOSAL_ID","THREADNAME_USERS","EXECUTION_NUMBER","ELAPSED_MS_PER_EXEC","LATENCY_MS_PER_EXEC","IDLETIME_MS_PER_EXEC"
1,Single_Click_Operation_Proposal_1 1-1,1,513,509,0
1,Single_Click_Operation_Proposal_1 1-1,2,50,50,0
1,Single_Click_Operation_Proposal_1 1-1,3,46,46,0
1,Single_Click_Operation_Proposal_1 1-2,1,48,48,0
1,Single_Click_Operation_Proposal_1 1-2,2,52,52,0
1,Single_Click_Operation_Proposal_1 1-2,3,45,45,0
1,Single_Click_Operation_Proposal_1 1-3,1,40,40,0
1,Single_Click_Operation_Proposal_1 1-3,2,45,44,0
1,Single_Click_Operation_Proposal_1 1-3,3,38,38,0
2,Single_Click_Operation_Proposal_2 2-1,1,42,42,0
2,Single_Click_Operation_Proposal_2 2-1,2,43,43,0
2,Single_Click_Operation_Proposal_2 2-1,3,41,41,0
2,Single_Click_Operation_Proposal_2 2-2,1,44,44,0
2,Single_Click_Operation_Proposal_2 2-2,2,40,40,0
2,Single_Click_Operation_Proposal_2 2-2,3,49,49,0
2,Single_Click_Operation_Proposal_2 2-3,1,49,49,0
2,Single_Click_Operation_Proposal_2 2-3,2,49,49,0
2,Single_Click_Operation_Proposal_2 2-3,3,45,44,0
3,Single_Click_Operation_Proposal_3 3-1,1,42,42,0
3,Single_Click_Operation_Proposal_3 3-1,2,98,98,0
3,Single_Click_Operation_Proposal_3 3-1,3,47,46,0
3,Single_Click_Operation_Proposal_3 3-2,1,46,45,0
3,Single_Click_Operation_Proposal_3 3-2,2,40,40,0
3,Single_Click_Operation_Proposal_3 3-2,3,42,42,0
3,Single_Click_Operation_Proposal_3 3-3,1,41,41,0
3,Single_Click_Operation_Proposal_3 3-3,2,48,48,0
3,Single_Click_Operation_Proposal_3 3-3,3,39,39,0
4,Single_Click_Operation_Proposal_4 4-1,1,38,38,0
4,Single_Click_Operation_Proposal_4 4-1,2,37,37,0
4,Single_Click_Operation_Proposal_4 4-1,3,36,36,0
4,Single_Click_Operation_Proposal_4 4-2,1,39,39,0
4,Single_Click_Operation_Proposal_4 4-2,2,38,38,0
4,Single_Click_Operation_Proposal_4 4-2,3,37,37,0
4,Single_Click_Operation_Proposal_4 4-3,1,50,50,0
4,Single_Click_Operation_Proposal_4 4-3,2,49,49,0
4,Single_Click_Operation_Proposal_4 4-3,3,47,47,0
5,Single_Click_Operation_Proposal_5 5-1,1,44,44,0
5,Single_Click_Operation_Proposal_5 5-1,2,40,40,0
5,Single_Click_Operation_Proposal_5 5-1,3,38,38,0
5,Single_Click_Operation_Proposal_5 5-2,1,43,43,0
5,Single_Click_Operation_Proposal_5 5-2,2,41,41,0
5,Single_Click_Operation_Proposal_5 5-2,3,43,43,0
5,Single_Click_Operation_Proposal_5 5-3,1,42,42,0
5,Single_Click_Operation_Proposal_5 5-3,2,39,39,0
5,Single_Click_Operation_Proposal_5 5-3,3,40,40,0
6,Single_Click_Operation_Proposal_6 6-1,1,36,36,0
6,Single_Click_Operation_Proposal_6 6-1,2,37,37,0
6,Single_Click_Operation_Proposal_6 6-1,3,40,40,0
6,Single_Click_Operation_Proposal_6 6-2,1,36,36,0
6,Single_Click_Operation_Proposal_6 6-2,2,37,37,0
6,Single_Click_Operation_Proposal_6 6-2,3,40,40,0
6,Single_Click_Operation_Proposal_6 6-3,1,39,39,0
6,Single_Click_Operation_Proposal_6 6-3,2,36,36,0
6,Single_Click_Operation_Proposal_6 6-3,3,37,36,0
7,Single_Click_Operation_Proposal_7 7-1,1,34,34,0
7,Single_Click_Operation_Proposal_7 7-1,2,35,35,0
7,Single_Click_Operation_Proposal_7 7-1,3,36,36,0
7,Single_Click_Operation_Proposal_7 7-2,1,34,34,0
7,Single_Click_Operation_Proposal_7 7-2,2,33,33,0
7,Single_Click_Operation_Proposal_7 7-2,3,35,35,0
7,Single_Click_Operation_Proposal_7 7-3,1,36,36,0
7,Single_Click_Operation_Proposal_7 7-3,2,34,34,0
7,Single_Click_Operation_Proposal_7 7-3,3,34,34,0
8,Single_Click_Operation_Proposal_8 8-1,1,37,37,0
8,Single_Click_Operation_Proposal_8 8-1,2,38,38,0
8,Single_Click_Operation_Proposal_8 8-1,3,38,38,0
8,Single_Click_Operation_Proposal_8 8-2,1,33,33,0
8,Single_Click_Operation_Proposal_8 8-2,2,38,37,0
8,Single_Click_Operation_Proposal_8 8-2,3,37,37,0
8,Single_Click_Operation_Proposal_8 8-3,1,35,34,0
8,Single_Click_Operation_Proposal_8 8-3,2,37,37,0
8,Single_Click_Operation_Proposal_8 8-3,3,33,33,0
9,Single_Click_Operation_Proposal_9 9-1,1,34,34,0
9,Single_Click_Operation_Proposal_9 9-1,2,35,35,0
9,Single_Click_Operation_Proposal_9 9-1,3,35,35,0
9,Single_Click_Operation_Proposal_9 9-2,1,34,34,0
9,Single_Click_Operation_Proposal_9 9-2,2,34,34,0
9,Single_Click_Operation_Proposal_9 9-2,3,36,36,0
9,Single_Click_Operation_Proposal_9 9-3,1,37,37,0
9,Single_Click_Operation_Proposal_9 9-3,2,38,38,0
9,Single_Click_Operation_Proposal_9 9-3,3,33,33,0
10,Single_Click_Operation_Proposal_10 10-1,1,34,34,0
10,Single_Click_Operation_Proposal_10 10-1,2,33,33,0
10,Single_Click_Operation_Proposal_10 10-1,3,35,34,0
10,Single_Click_Operation_Proposal_10 10-2,1,34,34,0
10,Single_Click_Operation_Proposal_10 10-2,2,36,36,0
10,Single_Click_Operation_Proposal_10 10-2,3,32,32,0
10,Single_Click_Operation_Proposal_10 10-3,1,41,41,0
10,Single_Click_Operation_Proposal_10 10-3,2,33,33,0
10,Single_Click_Operation_Proposal_10 10-3,3,31,31,0
11,Single_Click_Operation_Proposal_11 11-1,1,34,34,0
11,Single_Click_Operation_Proposal_11 11-1,2,34,34,0
11,Single_Click_Operation_Proposal_11 11-1,3,34,34,0
11,Single_Click_Operation_Proposal_11 11-2,1,36,36,0
11,Single_Click_Operation_Proposal_11 11-2,2,35,35,0
11,Single_Click_Operation_Proposal_11 11-2,3,36,36,0
11,Single_Click_Operation_Proposal_11 11-3,1,35,35,0
11,Single_Click_Operation_Proposal_11 11-3,2,33,33,0
11,Single_Click_Operation_Proposal_11 11-3,3,33,33,0
12,Single_Click_Operation_Proposal_12 12-1,1,34,34,0
12,Single_Click_Operation_Proposal_12 12-1,2,34,33,0
12,Single_Click_Operation_Proposal_12 12-1,3,34,34,0
12,Single_Click_Operation_Proposal_12 12-2,1,34,34,0
12,Single_Click_Operation_Proposal_12 12-2,2,36,36,0
12,Single_Click_Operation_Proposal_12 12-2,3,39,39,0
12,Single_Click_Operation_Proposal_12 12-3,1,36,35,0
12,Single_Click_Operation_Proposal_12 12-3,2,34,34,0
12,Single_Click_Operation_Proposal_12 12-3,3,34,34,0
13,Single_Click_Operation_Proposal_13 13-1,1,32,32,0
13,Single_Click_Operation_Proposal_13 13-1,2,35,35,0
13,Single_Click_Operation_Proposal_13 13-1,3,34,33,0
13,Single_Click_Operation_Proposal_13 13-2,1,34,34,0
13,Single_Click_Operation_Proposal_13 13-2,2,34,34,0
13,Single_Click_Operation_Proposal_13 13-2,3,36,36,0
13,Single_Click_Operation_Proposal_13 13-3,1,32,32,0
13,Single_Click_Operation_Proposal_13 13-3,2,37,37,0
13,Single_Click_Operation_Proposal_13 13-3,3,35,34,0
14,Single_Click_Operation_Proposal_14 14-1,1,35,35,0
14,Single_Click_Operation_Proposal_14 14-1,2,34,34,0
14,Single_Click_Operation_Proposal_14 14-1,3,34,34,0
14,Single_Click_Operation_Proposal_14 14-2,1,34,34,0
14,Single_Click_Operation_Proposal_14 14-2,2,40,40,0
14,Single_Click_Operation_Proposal_14 14-2,3,35,35,0
14,Single_Click_Operation_Proposal_14 14-3,1,33,33,0
14,Single_Click_Operation_Proposal_14 14-3,2,34,34,0
14,Single_Click_Operation_Proposal_14 14-3,3,35,35,0
15,Single_Click_Operation_Proposal_15 15-1,1,33,33,0
15,Single_Click_Operation_Proposal_15 15-1,2,37,37,0
15,Single_Click_Operation_Proposal_15 15-1,3,38,38,0
15,Single_Click_Operation_Proposal_15 15-2,1,32,32,0
15,Single_Click_Operation_Proposal_15 15-2,2,34,34,0
15,Single_Click_Operation_Proposal_15 15-2,3,34,34,0
15,Single_Click_Operation_Proposal_15 15-3,1,35,35,0
15,Single_Click_Operation_Proposal_15 15-3,2,36,36,0
15,Single_Click_Operation_Proposal_15 15-3,3,33,33,0
16,Single_Click_Operation_Proposal_16 16-1,1,40,40,0
16,Single_Click_Operation_Proposal_16 16-1,2,33,33,0
16,Single_Click_Operation_Proposal_16 16-1,3,34,34,0
16,Single_Click_Operation_Proposal_16 16-2,1,32,31,0
16,Single_Click_Operation_Proposal_16 16-2,2,34,34,0
16,Single_Click_Operation_Proposal_16 16-2,3,34,34,0
16,Single_Click_Operation_Proposal_16 16-3,1,35,35,0
16,Single_Click_Operation_Proposal_16 16-3,2,46,46,0
16,Single_Click_Operation_Proposal_16 16-3,3,34,34,0
17,Single_Click_Operation_Proposal_17 17-1,1,37,37,0
17,Single_Click_Operation_Proposal_17 17-1,2,38,38,0
17,Single_Click_Operation_Proposal_17 17-1,3,35,35,0
17,Single_Click_Operation_Proposal_17 17-2,1,36,36,0
17,Single_Click_Operation_Proposal_17 17-2,2,38,37,0
17,Single_Click_Operation_Proposal_17 17-2,3,33,33,0
17,Single_Click_Operation_Proposal_17 17-3,1,39,39,0
17,Single_Click_Operation_Proposal_17 17-3,2,32,32,0
17,Single_Click_Operation_Proposal_17 17-3,3,31,31,0
18,Single_Click_Operation_Proposal_18 18-1,1,32,32,0
18,Single_Click_Operation_Proposal_18 18-1,2,32,32,0
18,Single_Click_Operation_Proposal_18 18-1,3,34,34,0
18,Single_Click_Operation_Proposal_18 18-2,1,32,32,0
18,Single_Click_Operation_Proposal_18 18-2,2,34,34,0
18,Single_Click_Operation_Proposal_18 18-2,3,34,34,0
18,Single_Click_Operation_Proposal_18 18-3,1,33,33,0
18,Single_Click_Operation_Proposal_18 18-3,2,42,42,0
18,Single_Click_Operation_Proposal_18 18-3,3,34,34,0
19,Single_Click_Operation_Proposal_19 19-1,1,35,35,0
19,Single_Click_Operation_Proposal_19 19-1,2,37,37,0
19,Single_Click_Operation_Proposal_19 19-1,3,42,42,0
19,Single_Click_Operation_Proposal_19 19-2,1,35,35,0
19,Single_Click_Operation_Proposal_19 19-2,2,35,35,0
19,Single_Click_Operation_Proposal_19 19-2,3,37,37,0
19,Single_Click_Operation_Proposal_19 19-3,1,33,33,0
19,Single_Click_Operation_Proposal_19 19-3,2,31,30,0
19,Single_Click_Operation_Proposal_19 19-3,3,34,34,0
20,Single_Click_Operation_Proposal_20 20-1,1,35,35,0
20,Single_Click_Operation_Proposal_20 20-1,2,33,33,0
20,Single_Click_Operation_Proposal_20 20-1,3,34,34,0
20,Single_Click_Operation_Proposal_20 20-2,1,32,32,0
20,Single_Click_Operation_Proposal_20 20-2,2,36,36,0
20,Single_Click_Operation_Proposal_20 20-2,3,32,32,0
20,Single_Click_Operation_Proposal_20 20-3,1,34,34,0
20,Single_Click_Operation_Proposal_20 20-3,2,36,36,0
20,Single_Click_Operation_Proposal_20 20-3,3,34,34,0
21,Single_Click_Operation_Proposal_21 21-1,1,33,33,0
21,Single_Click_Operation_Proposal_21 21-1,2,31,31,0
21,Single_Click_Operation_Proposal_21 21-1,3,34,34,0
21,Single_Click_Operation_Proposal_21 21-2,1,32,32,0
21,Single_Click_Operation_Proposal_21 21-2,2,31,31,0
21,Single_Click_Operation_Proposal_21 21-2,3,31,31,0
21,Single_Click_Operation_Proposal_21 21-3,1,33,33,0
21,Single_Click_Operation_Proposal_21 21-3,2,37,37,0
21,Single_Click_Operation_Proposal_21 21-3,3,32,32,0
22,Single_Click_Operation_Proposal_22 22-1,1,35,35,0
22,Single_Click_Operation_Proposal_22 22-1,2,33,33,0
22,Single_Click_Operation_Proposal_22 22-1,3,35,35,0
22,Single_Click_Operation_Proposal_22 22-2,1,41,41,0
22,Single_Click_Operation_Proposal_22 22-2,2,33,33,0
22,Single_Click_Operation_Proposal_22 22-2,3,33,33,0
22,Single_Click_Operation_Proposal_22 22-3,1,31,31,0
22,Single_Click_Operation_Proposal_22 22-3,2,32,32,0
22,Single_Click_Operation_Proposal_22 22-3,3,35,35,0
23,Single_Click_Operation_Proposal_23 23-1,1,36,36,0
23,Single_Click_Operation_Proposal_23 23-1,2,34,34,0
23,Single_Click_Operation_Proposal_23 23-1,3,36,36,0
23,Single_Click_Operation_Proposal_23 23-2,1,38,38,0
23,Single_Click_Operation_Proposal_23 23-2,2,36,36,0
23,Single_Click_Operation_Proposal_23 23-2,3,31,31,0
23,Single_Click_Operation_Proposal_23 23-3,1,35,35,0
23,Single_Click_Operation_Proposal_23 23-3,2,33,33,0
23,Single_Click_Operation_Proposal_23 23-3,3,38,38,0
24,Single_Click_Operation_Proposal_24 24-1,1,37,37,0
24,Single_Click_Operation_Proposal_24 24-1,2,33,33,0
24,Single_Click_Operation_Proposal_24 24-1,3,31,31,0
24,Single_Click_Operation_Proposal_24 24-2,1,34,34,0
24,Single_Click_Operation_Proposal_24 24-2,2,33,33,0
24,Single_Click_Operation_Proposal_24 24-2,3,34,34,0
24,Single_Click_Operation_Proposal_24 24-3,1,33,33,0
24,Single_Click_Operation_Proposal_24 24-3,2,34,33,0
24,Single_Click_Operation_Proposal_24 24-3,3,33,33,0
25,Single_Click_Operation_Proposal_25 25-1,1,33,33,0
25,Single_Click_Operation_Proposal_25 25-1,2,33,33,0
25,Single_Click_Operation_Proposal_25 25-1,3,31,31,0
25,Single_Click_Operation_Proposal_25 25-2,1,33,33,0
25,Single_Click_Operation_Proposal_25 25-2,2,35,35,0
25,Single_Click_Operation_Proposal_25 25-2,3,30,30,0
25,Single_Click_Operation_Proposal_25 25-3,1,32,32,0
25,Single_Click_Operation_Proposal_25 25-3,2,31,31,0
25,Single_Click_Operation_Proposal_25 25-3,3,33,33,0
26,Single_Click_Operation_Proposal_26 26-1,1,32,32,0
26,Single_Click_Operation_Proposal_26 26-1,2,32,32,0
26,Single_Click_Operation_Proposal_26 26-1,3,35,35,0
26,Single_Click_Operation_Proposal_26 26-2,1,32,31,0
26,Single_Click_Operation_Proposal_26 26-2,2,31,31,0
26,Single_Click_Operation_Proposal_26 26-2,3,31,31,0
26,Single_Click_Operation_Proposal_26 26-3,1,46,46,0
26,Single_Click_Operation_Proposal_26 26-3,2,44,44,0
26,Single_Click_Operation_Proposal_26 26-3,3,37,37,0
27,Single_Click_Operation_Proposal_27 27-1,1,39,39,0
27,Single_Click_Operation_Proposal_27 27-1,2,34,34,0
27,Single_Click_Operation_Proposal_27 27-1,3,45,45,0
27,Single_Click_Operation_Proposal_27 27-2,1,33,33,0
27,Single_Click_Operation_Proposal_27 27-2,2,33,33,0
27,Single_Click_Operation_Proposal_27 27-2,3,33,33,0
27,Single_Click_Operation_Proposal_27 27-3,1,33,33,0
27,Single_Click_Operation_Proposal_27 27-3,2,36,36,0
27,Single_Click_Operation_Proposal_27 27-3,3,33,33,0
28,Single_Click_Operation_Proposal_28 28-1,1,31,31,0
28,Single_Click_Operation_Proposal_28 28-1,2,33,33,0
28,Single_Click_Operation_Proposal_28 28-1,3,33,33,0
28,Single_Click_Operation_Proposal_28 28-2,1,30,30,0
28,Single_Click_Operation_Proposal_28 28-2,2,35,35,0
28,Single_Click_Operation_Proposal_28 28-2,3,32,32,0
28,Single_Click_Operation_Proposal_28 28-3,1,32,32,0
28,Single_Click_Operation_Proposal_28 28-3,2,33,33,0
28,Single_Click_Operation_Proposal_28 28-3,3,33,33,0
29,Single_Click_Operation_Proposal_29 29-1,1,32,31,0
29,Single_Click_Operation_Proposal_29 29-1,2,33,33,0
29,Single_Click_Operation_Proposal_29 29-1,3,32,32,0
29,Single_Click_Operation_Proposal_29 29-2,1,38,38,0
29,Single_Click_Operation_Proposal_29 29-2,2,38,38,0
29,Single_Click_Operation_Proposal_29 29-2,3,33,33,0
29,Single_Click_Operation_Proposal_29 29-3,1,32,32,0
29,Single_Click_Operation_Proposal_29 29-3,2,32,32,0
29,Single_Click_Operation_Proposal_29 29-3,3,37,37,0
30,Single_Click_Operation_Proposal_30 30-1,1,35,35,0
30,Single_Click_Operation_Proposal_30 30-1,2,32,32,0
30,Single_Click_Operation_Proposal_30 30-1,3,31,31,0
30,Single_Click_Operation_Proposal_30 30-2,1,31,31,0
30,Single_Click_Operation_Proposal_30 30-2,2,32,32,0
30,Single_Click_Operation_Proposal_30 30-2,3,32,32,0
30,Single_Click_Operation_Proposal_30 30-3,1,34,34,0
30,Single_Click_Operation_Proposal_30 30-3,2,32,32,0
30,Single_Click_Operation_Proposal_30 30-3,3,33,33,0
31,Single_Click_Operation_Proposal_31 31-1,1,33,33,0
31,Single_Click_Operation_Proposal_31 31-1,2,33,33,0
31,Single_Click_Operation_Proposal_31 31-1,3,32,32,0
31,Single_Click_Operation_Proposal_31 31-2,1,30,30,0
31,Single_Click_Operation_Proposal_31 31-2,2,29,29,0
31,Single_Click_Operation_Proposal_31 31-2,3,30,30,0
31,Single_Click_Operation_Proposal_31 31-3,1,32,32,0
31,Single_Click_Operation_Proposal_31 31-3,2,32,32,0
31,Single_Click_Operation_Proposal_31 31-3,3,31,30,0
32,Single_Click_Operation_Proposal_32 32-1,1,31,30,0
32,Single_Click_Operation_Proposal_32 32-1,2,33,33,0
32,Single_Click_Operation_Proposal_32 32-1,3,36,36,0
32,Single_Click_Operation_Proposal_32 32-2,1,33,33,0
32,Single_Click_Operation_Proposal_32 32-2,2,35,35,0
32,Single_Click_Operation_Proposal_32 32-2,3,36,36,0
32,Single_Click_Operation_Proposal_32 32-3,1,32,32,0
32,Single_Click_Operation_Proposal_32 32-3,2,35,35,0
32,Single_Click_Operation_Proposal_32 32-3,3,42,42,0
33,Single_Click_Operation_Proposal_33 33-1,1,33,33,0
33,Single_Click_Operation_Proposal_33 33-1,2,31,31,0
33,Single_Click_Operation_Proposal_33 33-1,3,31,31,0
33,Single_Click_Operation_Proposal_33 33-2,1,31,31,0
33,Single_Click_Operation_Proposal_33 33-2,2,31,31,0
33,Single_Click_Operation_Proposal_33 33-2,3,29,29,0
33,Single_Click_Operation_Proposal_33 33-3,1,31,31,0
33,Single_Click_Operation_Proposal_33 33-3,2,31,31,0
33,Single_Click_Operation_Proposal_33 33-3,3,31,31,0
34,Single_Click_Operation_Proposal_34 34-1,1,31,31,0
34,Single_Click_Operation_Proposal_34 34-1,2,33,33,0
34,Single_Click_Operation_Proposal_34 34-1,3,32,32,0
34,Single_Click_Operation_Proposal_34 34-2,1,30,30,0
34,Single_Click_Operation_Proposal_34 34-2,2,31,31,0
34,Single_Click_Operation_Proposal_34 34-2,3,31,31,0
34,Single_Click_Operation_Proposal_34 34-3,1,30,30,0
34,Single_Click_Operation_Proposal_34 34-3,2,31,31,0
34,Single_Click_Operation_Proposal_34 34-3,3,29,29,0
35,Single_Click_Operation_Proposal_35 35-1,1,29,29,0
35,Single_Click_Operation_Proposal_35 35-1,2,34,34,0
35,Single_Click_Operation_Proposal_35 35-1,3,31,31,0
35,Single_Click_Operation_Proposal_35 35-2,1,31,31,0
35,Single_Click_Operation_Proposal_35 35-2,2,34,34,0
35,Single_Click_Operation_Proposal_35 35-2,3,45,45,0
35,Single_Click_Operation_Proposal_35 35-3,1,34,34,0
35,Single_Click_Operation_Proposal_35 35-3,2,37,37,0
35,Single_Click_Operation_Proposal_35 35-3,3,31,31,0
36,Single_Click_Operation_Proposal_36 36-1,1,31,31,0
36,Single_Click_Operation_Proposal_36 36-1,2,30,30,0
36,Single_Click_Operation_Proposal_36 36-1,3,33,33,0
36,Single_Click_Operation_Proposal_36 36-2,1,32,32,0
36,Single_Click_Operation_Proposal_36 36-2,2,34,34,0
36,Single_Click_Operation_Proposal_36 36-2,3,36,36,0
36,Single_Click_Operation_Proposal_36 36-3,1,32,32,0
36,Single_Click_Operation_Proposal_36 36-3,2,31,31,0
36,Single_Click_Operation_Proposal_36 36-3,3,30,30,0
37,Single_Click_Operation_Proposal_37 37-1,1,31,31,0
37,Single_Click_Operation_Proposal_37 37-1,2,31,30,0
37,Single_Click_Operation_Proposal_37 37-1,3,32,32,0
37,Single_Click_Operation_Proposal_37 37-2,1,32,32,0
37,Single_Click_Operation_Proposal_37 37-2,2,31,31,0
37,Single_Click_Operation_Proposal_37 37-2,3,30,30,0
37,Single_Click_Operation_Proposal_37 37-3,1,31,31,0
37,Single_Click_Operation_Proposal_37 37-3,2,33,33,0
37,Single_Click_Operation_Proposal_37 37-3,3,32,32,0
38,Single_Click_Operation_Proposal_38 38-1,1,31,31,0
38,Single_Click_Operation_Proposal_38 38-1,2,31,31,0
38,Single_Click_Operation_Proposal_38 38-1,3,31,31,0
38,Single_Click_Operation_Proposal_38 38-2,1,30,30,0
38,Single_Click_Operation_Proposal_38 38-2,2,31,31,0
38,Single_Click_Operation_Proposal_38 38-2,3,29,29,0
38,Single_Click_Operation_Proposal_38 38-3,1,32,32,0
38,Single_Click_Operation_Proposal_38 38-3,2,33,33,0
38,Single_Click_Operation_Proposal_38 38-3,3,36,36,0
39,Single_Click_Operation_Proposal_39 39-1,1,31,31,0
39,Single_Click_Operation_Proposal_39 39-1,2,32,32,0
39,Single_Click_Operation_Proposal_39 39-1,3,30,30,0
39,Single_Click_Operation_Proposal_39 39-2,1,29,29,0
39,Single_Click_Operation_Proposal_39 39-2,2,30,30,0
39,Single_Click_Operation_Proposal_39 39-2,3,33,33,0
39,Single_Click_Operation_Proposal_39 39-3,1,30,30,0
39,Single_Click_Operation_Proposal_39 39-3,2,29,29,0
39,Single_Click_Operation_Proposal_39 39-3,3,29,29,0
40,Single_Click_Operation_Proposal_40 40-1,1,31,31,0
40,Single_Click_Operation_Proposal_40 40-1,2,32,32,0
40,Single_Click_Operation_Proposal_40 40-1,3,31,31,0
40,Single_Click_Operation_Proposal_40 40-2,1,30,30,0
40,Single_Click_Operation_Proposal_40 40-2,2,31,31,0
40,Single_Click_Operation_Proposal_40 40-2,3,30,30,0
40,Single_Click_Operation_Proposal_40 40-3,1,29,29,0
40,Single_Click_Operation_Proposal_40 40-3,2,30,30,0
40,Single_Click_Operation_Proposal_40 40-3,3,30,30,0
41,Single_Click_Operation_Proposal_41 41-1,1,31,31,0
41,Single_Click_Operation_Proposal_41 41-1,2,29,29,0
41,Single_Click_Operation_Proposal_41 41-1,3,31,31,0
41,Single_Click_Operation_Proposal_41 41-2,1,30,30,0
41,Single_Click_Operation_Proposal_41 41-2,2,33,33,0
41,Single_Click_Operation_Proposal_41 41-2,3,32,32,0
41,Single_Click_Operation_Proposal_41 41-3,1,32,31,0
41,Single_Click_Operation_Proposal_41 41-3,2,37,37,0
41,Single_Click_Operation_Proposal_41 41-3,3,33,33,0
42,Single_Click_Operation_Proposal_42 42-1,1,33,33,0
42,Single_Click_Operation_Proposal_42 42-1,2,30,30,0
42,Single_Click_Operation_Proposal_42 42-1,3,30,30,0
